Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
f45c9cf15303039fc8a633f6a23841ba841b527dba5d0e09fa47a264c1cc7d9c,2023-02,Metropolitan Police Service,Metropolitan Police Service,0.127367,51.550026,On or near Hewett Road,E01000077,Barking and Dagenham 008F,Investigation complete; no suspect identified
a0d1553c631ad54b2ecca00ec13a5f35f3eabc5109388889539aad75609a18ab,2023-02,Metropolitan Police Service,Metropolitan Police Service,0.153801,51.5444,On or near Standfield Road,E01000015,Barking and Dagenham 009A,Investigation complete; no suspect identified
9336b8c158dda38a4413a58842672f8ba09a4e116b5cb89476557f57f452866e,2023-02,Metropolitan Police Service,Metropolitan Police Service,0.149731,51.547712,On or near Sterry Road,E01000016,Barking and Dagenham 009B,Investigation complete; no suspect identified
967fdb9be3470522743ad0084d0bd20dd7a24af50080b15844fc7367c89d567b,2023-02,Metropolitan Police Service,Metropolitan Police Service,0.146393,51.548196,On or near Osborne Road,E01000017,Barking and Dagenham 009C,Investigation complete; no suspect identified
d3b6482da6323962b756474babed8de6fd475abacde78cb623dac3a45786f805,2023-02,Metropolitan Police Service,Metropolitan Police Service,0.148445,51.545218,On or near PETTIT'S PLACE,E01000018,Barking and Dagenham 009D,Investigation complete; no suspect identified
8469bf7a4fd30d0e147dc08632ad16475ef08eb527f804ef8d448ba34304687a,2023-02,Metropolitan Police Service,Metropolitan Police Service,0.142764,51.547084,On or near Monmouth Road,E01000079,Barking and Dagenham 009E,Investigation complete; no suspect identified
062f2a7460f8f6622c06825fb1687b0863cde06de03177abb9ad76e51a67c453,2023-02,Metropolitan Police Service,Metropolitan Police Service,0.161636,51.551172,On or near Felhurst Crescent,E01000035,Barking and Dagenham 010A,Investigation complete; no suspect identified
f71bcd0090a402ebbd76ad5e304797e3895577c727d0dd3a18bacaf3ed207f10,2023-02,Metropolitan Police Service,Metropolitan Police Service,0.156872,51.548355,On or near WANTZ ROAD,E01000036,Barking and Dagenham 010B,Investigation complete; no suspect identified
3b82f95349fa239687bd5612add93080637b07538b0d657fa83f2fd2fbed0bfb,2023-02,Metropolitan Police Service,Metropolitan Police Service,0.170504,51.539902,On or near Manor Road,E01000107,Barking and Dagenham 010C,Investigation complete; no suspect identified
8522c6ad458f7642580e7773c6fbda4567d67fb8d292d4075d9c5348d4d7e9ae,2023-02,Metropolitan Police Service,Metropolitan Police Service,0.161752,51.541745,On or near Honey Close,E01000108,Barking and Dagenham 010D,Investigation complete; no suspect identified
